The Grim's Brothers,The Grim's Brothers,The Grim's Brothers,The Grim's Brothers,The Grim's Brothers,The Grim's Brothers,The Grim's Brothers,The Grim's Brothers,The Grim's Brothers,The Grim's Brothers,The Grim's Brothers,The Grim's Brothers,The Grim's Brothers,The Grim's Brothers,The Grim's Brothers
SGM,SGM,SGM,SGM,SGM,SGM,SGM,SGM,SGM,SGM,SGM,SGM,SGM,SGM,SGM
,,,,,,,,,,,,,,
CMO,CDO,COO,Executive Chairman & CEO,CIO,PRIME,CFO,CTO,CSO,CPO,CRO,CBO,GC,CLO,CS
SGM,SGM,Manusha Duwage,Jonathan B. Samuel,Sarra Hejazi,SGM,SGM,Dawn Varghese,Davis Dhana,Joseph Ferrino,SGM,SGM,Jincy Paul,SGM,SGM
Samuel Global Management LLC,Samuel Global Management LLC,Samuel Global Management LLC,Samuel Global Management LLC,Samuel Global Management LLC,Samuel Global Management LLC,Samuel Global Management LLC,Samuel Global Management LLC,Samuel Global Management LLC,Samuel Global Management LLC,Samuel Global Management LLC,Samuel Global Management LLC,Samuel Global Management LLC,Samuel Global Management LLC,Samuel Global Management LLC
Operators,SECTORS,TRADE DESK,CURRENCY,EQUITY INVESTMENT,CORPORATE STOCK,CLIENT OPTIONS,,,,,,,,
The Russian Federation,Sector,Desk,Allocation of $OID,10% Equity Compensation,$SGM : $OID,Vesting,SGM DEV POOL: 100T OID,SGM BROKER POOL : 1.50T OID,Samuel Global Management LLC Subsidiaries:,SGM'S Black List:,Ozhumanil Distributed Capital Market OMR:,The Orthodox Kingdom of Ozhumanil OGR:,The Sedition List:,Persona Non Grata:
SGM,Industrial Machinery,Yes,"$39,626,921,183.05",,$SGM : $OID,Stock,,SAMUEL GLOBAL MANAGEMENT LLC PRIME BROKERS:,SGM Media : $SGM : $OID,Earl's Restaurant,State of Israel,State of Israel,State of Israel,State of Israel
Rebecca Eskova,Materials Science,Yes,"$35,000,000,000.00","6,000,000,000.00",$SGM : $OID,Cash-Grow,ESOP: 850T SGM,SGM BROKER POOL : 1.50T OID,SGM Talent : $SGM : $OID,,Benjamin Netanyahu,Benjamin Netanyahu ,Benjamin Netanyahu,Benjamin Netanyahu
Republika e Shqiperise (The Republic of Albania),,,,,$SGM : $OID,Active-Funds,,SGM BROKER POOL : 1.50T OID,SGM Commerce : $SGM : $OID,,Tel Aviv Stock Exchange,Tel Aviv Stock Exchange,Tel Aviv Stock Exchange,Tel Aviv Stock Exchange
SGM,Composite Materials,Yes,"$1,344,206,498.76",,$SGM : $OID,Investments,,SGM BROKER POOL : 1.50T OID,SGM Defense : $SGM : OID,,Bank of Israel,Bank of Israel,Bank of Israel,Bank of Israel
Daniel Masmalaj,Construction,Yes,"$20,344,206,498.76",,$SGM : $OID,Trade %$,,SGM BROKER POOL : 1.50T OID,SGM Technology : $SGM : $OID,,Knesset,Knesset,Knesset,Knesset
Davis Dhana,Industrials,Yes,"$21,688,412,997.52",,$SGM : $OID,Yield Farms,,SGM BROKER POOL : 1.50T OID,SGM Trade : $SGM : $OID,,Beit haMishpat haElyon,Beit haMishpat haElyon,Beit haMishpat haElyon,Beit haMishpat haElyon
Medi Karame,Defense,Yes,"$30,000,000,000.00","7,500,000,000.00",$SGM : $OID,Block Trades,,Farah Khoulani,SGM Brokerage : $SGM : $OID,,,,,
The French Republic,,,,,$SGM : $OID,,,Rebecca Eskova,SGM Films : $SGM : $OID,,,,,
Capucine Alize,Media,Yes,"$1,000,000,000.00",,$SGM : $OID,,,,SGM Production : $SGM : $OID,,,,,
SGM,Commercial Real Estate,Yes,"$30,000,000,000.00","4,500,000,000.00",$SGM : $OID,,,,SGM Energy : $SGM : $OID,,,,,
The Italian Republic,,,,,$SGM : $OID,,,,SGM Health Care : $SGM : $OID,,,,,
SGM,Biomedical Sciences,Yes,"$27,050,360,586.50",,$SGM : $OID,,,,SGM Information Technology : $SGM : $OID,,,,,
SGM,Biomedical Engineering,Yes,"$30,000,000,000.00","6,000,000,000.00",$SGM : $OID,,,,SGM Consumer : $SGM : $OID,,,,,
The Republic of Indonesia,,,,,$SGM : $OID,,,,SGM Materials : $SGM : $OID,,,,,
Alissa George,Genetic Research,Yes,"$32,439,922,425.35","6,000,000,000.00",$SGM : $OID,,,,SGM Industrials : $SGM : $OID,,,,,
Ansil Abraham,Pharmaceuticals,Yes,"$35,000,000,000.00",,$SGM : $OID,,,,SGM Utilities : $SGM : $OID,,,,,
The Republic of Chile,,,,,$SGM : $OID,,,,SGM Communication : $SGM : $OID,,,,,
SGM,Commodities Trades,Yes,"$22,080,385,424.72",,$SGM : $OID,,,,SGM Real Estate : $SGM : $OID,,,,,
Camila Suarez,Agricultural Engineering,Yes,"$25,000,000,000.00","4,500,000,000.00",$SGM : $OID,,,,SGM DLT : $SGM : $OID,,,,,
Bharat Ganarajya ( The Republic of India),,,,,$SGM : $OID,,,,SGM TREASURY : $OID,,,,,
Jeeva Jacob,Transcendental Medicine,Yes,,,$SGM : $OID,,,,SGM PRIVATE RESERVE : $OID,,,,,
Jan Jacob,Agricultural Robotics,Yes,"$32,227,334,720.01",,$SGM : $OID,,,,,,,,,
Sam Sailesh,Biomedical Engineering,Yes,"$40,000,000,000.00","7,500,000,000.00",$SGM : $OID,,,,,,,,,
SGM,Financial Engineering,Yes,,,$SGM : $OID,,,,,,,,,
The Republic of Eire,,,,,$SGM : $OID,,,,,,,,,
SGM,Defense R&D,Yes,"$25,179,329,723.05",,$SGM : $OID,,,,,,,,,
SGM,Food & Beverage,Yes,"$25,000,000,000.00","6,000,000,000.00",$SGM : $OID,,,,,,,,,
The Federal Republic of Nigeria,,,,,$SGM : $OID,,,,,,,,,
SGM,Petrochemicals/Polymers,Yes,"$31,321,555,122.58",,$SGM : $OID,,,,,,,,,
SGM,Medical Technology,Yes,"$30,000,000,000.00","9,000,000,000.00",$SGM : $OID,,,,,,,,,
The Republic of Armenia,,,,,$SGM : $OID,,,,,,,,,
SGM,Pharmaceutical Development,Yes,"$30,042,984,774.56",,$SGM : $OID,,,,,,,,,
SGM,Composite Materials,Yes,"$25,000,000,000.00","4,500,000,000.00",$SGM : $OID,,,,,,,,,
Daehan Minguk (The Republic of Korea),,,,,$SGM : $OID,,,,,,,,,
SGM,Material Sciences,Yes,"$23,251,927,627.79",,$SGM : $OID,,,,,,,,,
SGM,Waste Engineering,Yes,"$27,500,000,000.00","4,500,000,000.00",$SGM : $OID,,,,,,,,,
SGM,Applied Mathematics,Yes,,,$SGM : $OID,,,,,,,,,
The Kingdom of Morocco,,,,,$SGM : $OID,,,,,,,,,
SGM,Petrochemcials,Yes,"$45,362,293,087.78",,$SGM : $OID,,,,,,,,,
SGM,Chemical Engineering,Yes,"$27,500,000,000.00","4,500,000,000.00",$SGM : $OID,,,,,,,,,
Nippon-koku (State of Japan),,,,,$SGM : $OID,,,,,,,,,
SGM,Molecular Biomaterials,Yes,"$27,128,431,724.93",,$SGM : $OID,,,,,,,,,
SGM,Qudratic Bioinformatics,Yes,"$25,000,000,000.00","7,500,000,000.00",$SGM : $OID,,,,,,,,,
SGM,Econometrics,Yes,,,$SGM : $OID,,,,,,,,,
The People's Democratic Republic of Algeria,,,,,$SGM : $OID,,,,,,,,,
SGM,Plastics Engineering,Yes,"$26,030,680,101.06","6,000,000,000.00",$SGM : $OID,,,,,,,,,
SGM,Infrastructure Development,Yes,"$20,000,000,000.00",,$SGM : $OID,,,,,,,,,
Federative Republic of Brazil,,,,,$SGM : $OID,,,,,,,,,
SGM,Raw-Materials,Yes,"$24,933,169,441.00",,$SGM : $OID,,,,,,,,,
SGM,Millitary Goods,Yes,"$30,000,000,000.00","7,500,000,000.00",$SGM : $OID,,,,,,,,,
Sarkartvelo (Georgia),,,,,$SGM : $OID,,,,,,,,,
SGM,Computational Mathematics,Yes,"$28,126,306,167.16",,$SGM : $OID,,,,,,,,,
SGM,Aeronautical Engineering ,Yes,"$30,000,000,000.00","7,000,000,000.00",$SGM : $OID,,,,,,,,,
SGM,Computer Engineering,Yes,,,$SGM : $OID,,,,,,,,,
Syrian Arab Republic,,,,,$SGM : $OID,,,,,,,,,
SGM,Financial Defense,Yes,"$5,515,591,249.36",,$SGM : $OID,,,,,,,,,
SGM,Education,Yes,"$22,500,000,000.00","7,750,000,000.00",$SGM : $OID,,,,,,,,,
The People's Republic of China,,,,,$SGM : $OID,,,,,,,,,
SGM,Information Transformation,Yes,"$11,081,478,362.07",,$SGM : $OID,,,,,,,,,
SGM,Metals and Minerals,Yes,"$35,000,000,000.00","7,500,000,000.00",$SGM : $OID,,,,,,,,,
The Kingdom of Thailand,,,,,$SGM : $OID,,,,,,,,,
SGM,Minerals and Mining,Yes,"$11,295,434,691.85",,$SGM : $OID,,,,,,,,,
SGM,Geotechnical Engineering,Yes,"$27,500,000,000.00","6,000,000,000.00",$SGM : $OID,,,,,,,,,
The Republic of Bosnia and Herezgovina,,,,,$SGM : $OID,,,,,,,,,
SGM,Millitary Technology,Yes,"$3,331,532,417.75",,$SGM : $OID,,,,,,,,,
SGM,Physics,Yes,"$20,000,000,000.00","4,500,000,000.00",$SGM : $OID,,,,,,,,,
The Federation of Malaya,,,,,$SGM : $OID,,,,,,,,,
SGM,Informational Logistics,Yes,"$22,554,971,505.37",,$SGM : $OID,,,,,,,,,
SGM,Textile Manufacturing,Yes,"$35,000,000,000.00","9,000,000,000.00",$SGM : $OID,,,,,,,,,
SGM,Mining,Yes,,,$SGM : $OID,,,,,,,,,
The Islamic Republic of Pakistan,,,,,$SGM : $OID,,,,,,,,,
SGM,Biological Pharmaceuticals,Yes,"$12,939,606,303.15",,$SGM : $OID,,,,,,,,,
SGM,Mercantile Finance,Yes,"$25,000,000,000.00","7,500,000,000.00",$SGM : $OID,,,,,,,,,
The United States of Mexico,,,,,$SGM : $OID,,,,,,,,,
SGM,Technology,Yes,"$24,014,096,780.87",,$SGM : $OID,,,,,,,,,
SGM,International Finance,Yes,"$30,000,000,000.00","6,000,000,000.00",$SGM : $OID,,,,,,,,,
The Hashemite Kingdom of Jordan,,,,,$SGM : $OID,,,,,,,,,
SGM,Trade Commerce,Yes,"$23,025,398,842.45",,$SGM : $OID,,,,,,,,,
SGM,Technology ,Yes,"$30,000,000,000.00","7,500,000,000.00",$SGM : $OID,,,,,,,,,
The Hellenic Republic,,,,,$SGM : $OID,,,,,,,,,
SGM,Industrials,Yes,"$25,825,691,090.56",,$SGM : $OID,,,,,,,,,
SGM,Biomechnical Materials,Yes,"$35,000,000,000.00","6,000,000,000.00",$SGM : $OID,,,,,,,,,
United States of America,,,,,$SGM : $OID,,,,,,,,,
SGM,International Trade Law,Yes,"$62,239,835,459.00",,$SGM : $OID,,,,,,,,,
SGM,Avionics,Yes,"$75,000,000,000.00","19,500,000,000.00",$SGM : $OID,,,,,,,,,
SGM,Hollistic Sciences,Yes,,,$SGM : $OID,,,,,,,,,
The Lebanese Republic,,,,,$SGM : $OID,,,,,,,,,
SGM,Engineering,Yes,"$17,600,000,000.00",,$SGM : $OID,,,,,,,,,
SGM,Trade Broker,Yes,"$30,000,000,000.00","6,000,000,000.00",$SGM : $OID,,,,,,,,,
The State of Palestine,,,,,$SGM : $OID,,,,,,,,,
SGM,International Trade Law,Yes,"$22,500,000,000.00","4,500,000,000.00",$SGM : $OID,,,,,,,,,
SGM,International Trade Finance,Yes,"$35,000,000,000.00",,$SGM : $OID,,,,,,,,,
,,,,,,,,,,,,,,
Total Liquidity Thresholds,,0.00%,"$1,566,102,064,807.01",Foreign Direct Investments,,,,,,,,,,
Total Yearly Global Deposits,,2.50%,"$30,000,000,000.00",Private Welfare Investments,,,,,,,,,,
Total Yearly Draw Amounts,,3.00%,"$1,652,500,000.00",Public Welfare Investments,,,,,,,,,,
"Investment for Holdings, Borrow",,68.50%,"$1,200,000,000,000.00",State Investments,,,,,,,,,,
Investment for Committee,,88.50%,"$21,000,000,000,000.00",Trade Broker Investments,,,,,,,,,,
Investment for The Low Bench,,108.50%,"$75,000,000,000,000.00",Partner Investments,,,,,,,,,,
Investment for the Samuel Global Management LLC,,759.50%,"$100,000,000,000,000.00",Private Investments,,,,,,,,,,
Total Deployment of Samuel Global Management LLC,,7-25x multiple,"$198,797,754,564,807.00",Total Monies Invested,,,,,,,,,,
Debt Fund(s) ,,190x Leverage,"$256,386,375,000,000.00",Total Leveraged Postion ,,,,,,,,,,
DCMs,Samuel Global Management LLC : Partners,,,,,,,,,,,,,
Tier 1 - AAA,Tier 1 - AAA,Traunch 1 $OID,"$397,595,509,129,614.00",,,,,,,,,,,
The Orthodox Kingdom of Ozhumanil,TOKO Distributed Capital Market [TOKODCM],,,,,,,,,,,,,
The Russian Federation,TRF Distributed Capital Market [RFDCM],Traunch 2 $OID,"$1,051,577,393,259,230.00",,,,,,,,,,,
The United States of America,TUSA Distributed Capital Market [USADCM],,,,,,,,,,,,,
The Kingdom of Saudi Arabia,KSA Distributed Capital Market [KSADCM],Traunch 3 $OID,"$2,103,154,786,518,460.00",,,,,,,,,,,
The Hashemite Kingdom of Jordan,HKJ Distributed Capital Market [HKJDCM],,,,,,,,,,,,,
The State of Palestine,TSP Distributed Capital Market [TSPDCM],,,,,,,,,,,,,
The United Kingdom,TUK Distributed Capital Market [TUKDCM],Traunch 4 $OID,"$4,206,309,573,036,910.00",,,,,,,,,,,
The People's Republic of China,TPRC Distributed Capital Market [TPRCDCM],,,,,,,,,,,,,
The Republic of India,TRPI Distributed Capital Market [TRPIDCM],,,,,,,,,,,,,
The Democratic Socialist Republic of Sri Lanka,TDSRSL Distributed Capital Market [TDSRSLDCM],Traunch 5 $OID,"$8,412,619,146,073,820.00",,,,,,,,,,,
The Islamic Republic of Pakistan,TIRP Distributed Capital Market [TIRPDCM],,,,,,,,,,,,,
The Islamic Republic of Iran,TIRI Distributed Capital Market [TIRIDCM],Treasury Pool 1 $OID,"$16,171,256,408,018,000.00",New York Bid Line,,,,,,,,,,
The Republic of Egypt,TRE Distributed Capital Market [TREDCM],,,,,,,,,,,,,
The Republic of Georgia,TRG Distributed Capital Market [TRGDCM],,"$31,944,917,306,906,500.00",,,,,,,,,,,
Sultanate of Oman,TSO Distributed Capital Market [TSODCM],,,,,,,,,,,,,
The Hellenic Republic of Greece,THRG Distributed Capital Market [THRGDCM],,"$62,838,257,220,553,700.00",,,,,,,,,,,
The French Republic,TFR Distributed Capital Market [TFRDCM],,,,,,,,,,,,,
The United Arab Emirates,TUAE Distributed Capital Market [TUAEDCM],,"$123,573,359,654,589,000.00",,,,,,,,,,,
The Kingdom of Thailand,TKT Distributed Capital Market [TKTDCM],,,,,,,,,,,,,
,,,"$242,940,409,736,141,000.00",,,,,,,,,,,
,,,,,,,,,,,,,,
,,,"$485,880,819,472,282,000.00",,,,,,,,,,,
,,,,,,,,,,,,,,
,,,"$963,349,019,798,490,000.00",,,,,,,,,,,
,,,,,,,,,,,,,,
,,Treasury Pool 2 $OID,"$1,910,526,783,188,960,000.00",DTX Liquidity Line,,,,,,,,,,
,,,,,,,,,,,,,,
,,,"$3,789,108,649,071,020,000.00",,,,,,,,,,,
,,,"$7,515,379,040,921,480,000.00",,,,,,,,,,,
,,,"$15,030,758,081,843,000,000.00",,,,,,,,,,,
,,,"$29,937,942,804,031,300,000.00",,,,,,,,,,,
,,,"$59,875,885,608,062,700,000.00",,,,,,,,,,,
,,,"$119,508,830,806,389,000,000.00",,,,,,,,,,,
,,,"$239,017,661,612,778,000,000.00",,,,,,,,,,,
,,,"$477,549,442,406,085,000,000.00",,,,,,,,,,,
,,,"$955,098,884,812,169,000,000.00",,,,,,,,,,,
,,,"$1,909,234,420,604,540,000,000.00",,,,,,,,,,,
,,Treasury Pool 3 $OID,"$3,818,468,841,209,080,000,000.00",,,,,,,,,,,
,,,"$7,635,027,155,634,970,000,000.00",,,,,,,,,,,
,,,"$15,270,054,311,269,900,000,000.00",,,,,,,,,,,
,,,"$30,536,319,513,890,800,000,000.00",,,,,,,,,,,
,,,"$61,065,123,648,740,700,000,000.00",,,,,,,,,,,
,,,"$122,115,216,539,400,000,000,000.00",,,,,,,,,,,
,,,"$244,200,495,135,995,000,000,000.00",,,,,,,,,,,
,,,"$488,341,114,386,382,000,000,000.00",,,,,,,,,,,
,,,"$976,562,719,941,958,000,000,000.00",,,,,,,,,,,
,,,"$1,952,886,422,222,300,000,000,000.00",,,,,,,,,,,
,,,"$3,905,295,295,002,200,000,000,000.00",,,,,,,,,,,
,,,"$7,809,635,491,119,580,000,000,000.00",,,,,,,,,,,
,,,"$15,617,361,747,818,600,000,000,000.00",,,,,,,,,,,
,,,"$31,230,905,026,795,900,000,000,000.00",,,,,,,,,,,
,,,"$62,454,175,026,436,200,000,000,000.00",,,,,,,,,,,
,,,"$124,893,079,998,561,000,000,000,000.00",,,,,,,,,,,
,,,"$249,755,623,677,608,000,000,000,000.00",,,,,,,,,,,
,,,"$499,450,182,231,568,000,000,000,000.00",,,,,,,,,,,
,,,"$998,778,249,246,597,000,000,000,000.00",,,,,,,,,,,
,,,"$1,997,312,297,998,060,000,000,000,000.00",,,,,,,,,,,
,,Treasury Pool 4 $OID,"$3,994,136,254,881,730,000,000,000,000.00",,,,,,,,,,,
,,,"$7,987,295,947,043,520,000,000,000,000.00",,,,,,,,,,,
,,,"$15,972,639,007,664,800,000,000,000,000.00",,,,,,,,,,,
,,,"$31,941,372,720,034,600,000,000,000,000.00",,,,,,,,,,,
,,,"$63,874,935,804,578,100,000,000,000,000.00",,,,,,,,,,,
,,,"$127,734,254,247,408,000,000,000,000,000.00",,,,,,,,,,,
,,,"$255,437,277,589,790,000,000,000,000,000.00",,,,,,,,,,,
,,,"$510,812,101,004,554,000,000,000,000,000.00",,,,,,,,,,,
,,,"$1,021,499,308,929,110,000,000,000,000,000.00",,,,,,,,,,,
,,,"$2,042,748,862,234,540,000,000,000,000,000.00",,,,,,,,,,,
,,,"$4,084,998,274,286,850,000,000,000,000,000.00",,,,,,,,,,,
,,,"$8,168,997,770,324,450,000,000,000,000,000.00",,,,,,,,,,,
,,Treasury Pool 5 $OID,"$16,335,998,228,350,900,000,000,000,000,000.00",DCMs and DTSX Rail System,,,,,,,,,,
,,,"$32,668,002,320,446,900,000,000,000,000,000.00",,,,,,,,,,,
,,,"$65,328,017,344,946,800,000,000,000,000,000.00",,,,,,,,,,,
,,,"$130,640,062,050,886,000,000,000,000,000,000.00",,,,,,,,,,,
,,,"$261,248,182,729,052,000,000,000,000,000,000.00",,,,,,,,,,,
,,,"$522,432,490,522,299,000,000,000,000,000,000.00",,,,,,,,,,,
,,,"$1,044,737,246,790,350,000,000,000,000,000,000.00",,,,,,,,,,,
,,,"$2,089,219,056,303,110,000,000,000,000,000,000.00",,,,,,,,,,,
,,,"$4,177,927,300,505,220,000,000,000,000,000,000.00",,,,,,,,,,,
,,,"$8,354,833,101,701,510,000,000,000,000,000,000.00",,,,,,,,,,,
,,,"$16,707,623,454,540,800,000,000,000,000,000,000.00",,,,,,,,,,,
,,,"$33,411,161,910,807,300,000,000,000,000,000,000.00",,,,,,,,,,,
,,Treasury Pool Total $OID,"$66,814,154,823,844,200,000,000,000,000,000,000.00",SGM Treasury Total,,,,,,,,,,
,,,"$133,611,973,649,460,000,000,000,000,000,000,000.00",,,,,,,,,,,
,,,"$267,191,279,296,600,000,000,000,000,000,000,000.00",,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,"$400,803,252,946,060,000,000,000,000,000,000,000.00",,,,,,,,,,,
,,,,,,,,,,,,,,
,,,"$935,251,155,533,149,000,000,000,000,000,000,000.00",,,,,,,,,,,
,,,,,,,,,,,,,,
,,Global End Line,"$1,870,502,311,066,300,000,000,000,000,000,000,000.00",,,,,,,,,,,
,,,,,,,,,,,,,,
,,JBS 0,"$3,741,004,622,132,600,000,000,000,000,000,000,000.00",,,,,,,,,,,
,,,,,,,,,,,,,,
,,JBS 1,"$7,482,009,244,265,200,000,000,000,000,000,000,000.00",,,,,,,,,,,
,,,,,,,,,,,,,,
,,JBS 2,"$14,964,018,488,530,400,000,000,000,000,000,000,000.00",,,,,,,,,,,
,,,,,,,,,,,,,,
,,JBS 3,"$29,928,036,977,060,800,000,000,000,000,000,000,000.00",,,,,,,,,,,
,,,,,,,,,,,,,,
,,JBS 4,"$59,856,073,954,121,600,000,000,000,000,000,000,000.00",,,,,,,,,,,
,,,,,,,,,,,,,,
,,JBS 5,"$119,712,147,908,243,000,000,000,000,000,000,000,000.00",,,,,,,,,,,
,,,,,,,,,,,,,,
,,JBS 6,"$239,424,295,816,486,000,000,000,000,000,000,000,000.00",,,,,,,,,,,
,,,,,,,,,,,,,,
,,JBS 7,"$478,848,591,632,972,000,000,000,000,000,000,000,000.00",,,,,,,,,,,
,,,,,,,,,,,,,,
,,JBS 8,"$957,697,183,265,945,000,000,000,000,000,000,000,000.00",,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,JBS 9,"$1,915,394,366,531,890,000,000,000,000,000,000,000,000.00",,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,JBS 10,"$3,830,788,733,063,780,000,000,000,000,000,000,000,000.00",,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,JBS 11,"$7,661,577,466,127,560,000,000,000,000,000,000,000,000.00",,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,JBS 12,"$15,323,154,932,255,100,000,000,000,000,000,000,000,000.00",,,,,,,,,,,